"feature","synergy","p","padj","Genus"
"s__Streptococcus mitis_BT",-6.28091734503372,0.00108242868460974,0.621550405127921,"g__Streptococcus"
"g__Prevotella_HROM_Genome_1171",2.71192498516477,0.00116564086666901,0.621550405127921,"g__Prevotella"
"g__Rothia_HROM_Genome_0196",-5.58225315430606,0.00191866673829127,0.621550405127921,"g__Rothia"
"s__Centipeda sp000468035",2.04065391250554,0.00222879869032131,0.621550405127921,"g__Centipeda"
"s__Rothia mucilaginosa_B",-2.33875434902801,0.00231653830493086,0.621550405127921,"g__Rothia"
"s__Actinomyces sp000195595",4.16654112343562,0.00264165213062947,0.621550405127921,"g__Actinomyces"
"g__Campylobacter_A_HROM_Genome_1360",-4.96808709780842,0.00270931357732924,0.621550405127921,"g__Campylobacter_A"
"g__Oribacterium_HROM_Genome_1849",-3.8095686468563,0.00285006145247805,0.621550405127921,"g__Oribacterium"
"s__CAG-793 sp013333035",-6.55622394011103,0.00286415189509505,0.621550405127921,"g__CAG-793"
"g__JABCPE02_HROM_Genome_1196",2.29031805923266,0.00385487688414352,0.621550405127921,"g__JABCPE02"
"s__Tannerella sp003033925",2.5425747967256,0.00445570815093585,0.621550405127921,"g__Tannerella"
"s__Porphyromonas sp000467855",2.62367326223705,0.00449309376790873,0.621550405127921,"g__Porphyromonas"
"s__Rothia sp001808955",-2.79243069838414,0.0045685199120101,0.621550405127921,"g__Rothia"
"g__Fen-668_HROM_Genome_0397",4.67987082036372,0.00503833059054791,0.621550405127921,"g__Fen-668"
"g__Prevotella_HROM_Genome_1174",1.74431980431982,0.00519593031424672,0.621550405127921,"g__Prevotella"
"s__Leptotrichia_A sp905371725",2.88307080249144,0.00535039728710959,0.621550405127921,"g__Leptotrichia_A"
"g__Streptococcus_HROM_Genome_2099",-2.54401734913397,0.00568817606484646,0.621550405127921,"g__Streptococcus"
"s__Prevotella sp018127805",2.76929290028981,0.00579964129472289,0.621550405127921,"g__Prevotella"
"g__Leptotrichia_HROM_Genome_2869",3.33186962985353,0.00702402028708066,0.621550405127921,"g__Leptotrichia"
"g__Kingella_A_HROM_Genome_4854",2.78063020166321,0.00716023015918556,0.621550405127921,"g__Kingella_A"
"g__Prevotella_HROM_Genome_1172",1.71965916583406,0.00721764454095509,0.621550405127921,"g__Prevotella"
"g__JABCPE02_HROM_Genome_1186",5.15054115213718,0.00731434960603185,0.621550405127921,"g__JABCPE02"
"s__Streptococcus mitis_AK",-5.27458128265793,0.00751511826806734,0.621550405127921,"g__Streptococcus"
"g__Bacteroides_D_HROM_Genome_1076",3.00052269971912,0.00768685750537764,0.621550405127921,"g__Bacteroides_D"
"s__Streptococcus oralis_AB",-4.94685672551467,0.00836025968239964,0.621550405127921,"g__Streptococcus"
"g__Arachnia_HROM_Genome_0393",2.80166271303177,0.00841417485463332,0.621550405127921,"g__Arachnia"
"s__Anaeroglobus massiliensis",-2.46840811885738,0.00918839870791893,0.621550405127921,"g__Anaeroglobus"
"g__Arachnia_HROM_Genome_0390",3.49692874847611,0.00961309243599532,0.621550405127921,"g__Arachnia"
"s__Leptotrichia buccalis",2.75039494323996,0.00965193284162183,0.621550405127921,"g__Leptotrichia"
"s__Oribacterium sinus",-2.19261306596262,0.00971923658117826,0.621550405127921,"g__Oribacterium"
"g__Streptococcus_HROM_Genome_2389",4.61283508550163,0.00980562980100028,0.621550405127921,"g__Streptococcus"
"g__Oribacterium_HROM_Genome_1848",-3.12061384167024,0.0104156356287507,0.625630785063724,"g__Oribacterium"
"s__Aggregatibacter segnis",2.99284613338211,0.0105067765430549,0.625630785063724,"g__Aggregatibacter"
"s__Streptococcus oralis_J",4.10002547535268,0.0114930924520789,0.629804911332245,"g__Streptococcus"
"g__Rothia_HROM_Genome_0143",-3.34055016653284,0.0115711077486656,0.629804911332245,"g__Rothia"
"s__Streptococcus mitis_N",-6.11388873970364,0.0117530638383902,0.629804911332245,"g__Streptococcus"
"g__Prevotella_HROM_Genome_1173",2.08382428748238,0.0118589219945512,0.629804911332245,"g__Prevotella"
"s__Campylobacter_A sp905372745",3.42578353599312,0.0128611970580073,0.665059268920641,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2355",-4.58285374087295,0.0144273051032947,0.683828857837713,"g__Streptococcus"
"g__Eikenella_HROM_Genome_4848",2.34963594573372,0.0155094444848087,0.683828857837713,"g__Eikenella"
"g__Arachnia_HROM_Genome_0394",2.52426982696267,0.0159144523647191,0.683828857837713,"g__Arachnia"
"g__Streptococcus_HROM_Genome_2221",-4.90785096229858,0.0164708669335616,0.683828857837713,"g__Streptococcus"
"s__Capnocytophaga sp000192225",1.79251083981979,0.0165463335869411,0.683828857837713,"g__Capnocytophaga"
"s__Actinomyces johnsonii",2.07676857700795,0.0171215171148505,0.683828857837713,"g__Actinomyces"
"g__Lancefieldella_HROM_Genome_0436",-3.90421911974608,0.0173235699502168,0.683828857837713,"g__Lancefieldella"
"g__Alloprevotella_HROM_Genome_1051",3.03506813246191,0.0173560804951439,0.683828857837713,"g__Alloprevotella"
"s__Corynebacterium durum",2.67978675966607,0.0177888146262417,0.683828857837713,"g__Corynebacterium"
"s__Prevotella copri",-2.34013922819459,0.0178802384998166,0.683828857837713,"g__Prevotella"
"g__Campylobacter_A_HROM_Genome_1347",-3.04598392774184,0.0178858675151449,0.683828857837713,"g__Campylobacter_A"
"g__Tannerella_HROM_Genome_1114",2.07752838658611,0.0184153815822451,0.683828857837713,"g__Tannerella"
"g__Oribacterium_HROM_Genome_1869",-3.89337613576663,0.0188178259429919,0.683828857837713,"g__Oribacterium"
"g__Neisseria_HROM_Genome_4852",2.51807166029098,0.0188283795316772,0.683828857837713,"g__Neisseria"
"s__Treponema_D paredis",1.91159883134379,0.0189605466531865,0.683828857837713,"g__Treponema_D"
"g__Tannerella_HROM_Genome_1115",2.2361702249458,0.019073591331968,0.683828857837713,"g__Tannerella"
"g__Granulicatella_HROM_Genome_2613",-2.56231797490743,0.0191402479292999,0.683828857837713,"g__Granulicatella"
"g__Capnocytophaga_HROM_Genome_1214",1.51765787810012,0.0204443663585947,0.686689876365476,"g__Capnocytophaga"
"g__Haemophilus_A_HROM_Genome_4931",3.41329495421442,0.0204565161881457,0.686689876365476,"g__Haemophilus_A"
"g__Rothia_HROM_Genome_0065",-3.80519901932842,0.0206081024969962,0.686689876365476,"g__Rothia"
"g__Pauljensenia_HROM_Genome_0258",-1.94011227712457,0.0206304467860411,0.686689876365476,"g__Pauljensenia"
"s__Rothia sp015265375",-2.83910404543637,0.0212243294721886,0.686689876365476,"g__Rothia"
"s__Capnocytophaga sp002999135",1.67380157939764,0.0213170903095644,0.686689876365476,"g__Capnocytophaga"
"s__Tannerella sp002890585",1.79216940644638,0.021738540101715,0.688971472578549,"g__Tannerella"
"g__Streptococcus_HROM_Genome_2404",3.70998988466426,0.022753504678581,0.689876734604094,"g__Streptococcus"
"s__Porphyromonas sp018127745",2.53018789786429,0.0227664615770532,0.689876734604094,"g__Porphyromonas"
"s__Pauljensenia turicensis",-1.68229656834432,0.0232837824244189,0.689876734604094,"g__Pauljensenia"
"g__Prevotella_HROM_Genome_1169",1.78437871683052,0.0239050816600148,0.689876734604094,"g__Prevotella"
"g__Kingella_B_HROM_Genome_4880",3.76604453970178,0.0247411660675056,0.689876734604094,"g__Kingella_B"
"g__Streptococcus_HROM_Genome_2393",-4.08313134696273,0.0250973006783145,0.689876734604094,"g__Streptococcus"
"f__Lachnospiraceae_HROM_Genome_1702",2.64886262450695,0.0253981787933326,0.689876734604094,"g__"
"g__Prevotella_HROM_Genome_1162",1.69429987412099,0.0254100680849312,0.689876734604094,"g__Prevotella"
"g__Campylobacter_A_HROM_Genome_1625",3.77176485376805,0.0255475852350067,0.689876734604094,"g__Campylobacter_A"
"s__Peptidiphaga sp905373325",3.07056479867491,0.0256698542813191,0.689876734604094,"g__Peptidiphaga"
"g__Campylobacter_A_HROM_Genome_1638",3.74693412413297,0.0264498034392792,0.689876734604094,"g__Campylobacter_A"
"g__Prevotella_HROM_Genome_0991",-1.85991542622495,0.0270792625308907,0.689876734604094,"g__Prevotella"
"s__CAJPNX01 sp905372165",2.61885431352456,0.0271331015462735,0.689876734604094,"g__CAJPNX01"
"g__Streptococcus_HROM_Genome_2383",-3.23797203816819,0.0273833495468368,0.689876734604094,"g__Streptococcus"
"g__Eubacterium_B_HROM_Genome_1922",-2.23321895916557,0.0275187922990522,0.689876734604094,"g__Eubacterium_B"
"g__Streptococcus_HROM_Genome_2185",4.84480613782547,0.0281011315057142,0.689876734604094,"g__Streptococcus"
"s__Fusobacterium nucleatum",5.02175132765901,0.0281617937414122,0.689876734604094,"g__Fusobacterium"
"g__CAJPSE01_HROM_Genome_5106",2.6732930997816,0.0282904896076524,0.689876734604094,"g__CAJPSE01"
"g__HOT-345_HROM_Genome_2926",3.94282325149245,0.0284376669226115,0.689876734604094,"g__HOT-345"
"g__Rothia_HROM_Genome_0122",-3.38050152356918,0.0291753432548763,0.691855270532687,"g__Rothia"
"g__Rothia_HROM_Genome_0129",-2.09389014242763,0.0292234032845868,0.691855270532687,"g__Rothia"
"g__Streptococcus_HROM_Genome_2457",2.82446389274092,0.0303529824604804,0.693170801186032,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2113",-3.72553796765782,0.0303723312972615,0.693170801186032,"g__Streptococcus"
"s__Haemophilus_A parahaemolyticus_A",3.57521868899096,0.030517359716417,0.693170801186032,"g__Haemophilus_A"
"g__Peptoanaerobacter_HROM_Genome_1937",3.55644358115106,0.0307546531564878,0.693170801186032,"g__Peptoanaerobacter"
"s__Lachnoanaerobaculum sp000209465",2.10988841660056,0.0310427636154559,0.693170801186032,"g__Lachnoanaerobaculum"
"g__Tractidigestivibacter_HROM_Genome_0960",-3.28951520809749,0.032125450051525,0.70928662192412,"g__Tractidigestivibacter"
"s__Leptotrichia sp000469385",2.72713374680669,0.0333290016861448,0.72004278465827,"g__Leptotrichia"
"s__Leptotrichia trevisanii",3.14470464105895,0.0337801161297422,0.72004278465827,"g__Leptotrichia"
"s__F0058 sp905372605",1.99172496197738,0.0341755206728649,0.72004278465827,"g__F0058"
"g__Propionivibrio_HROM_Genome_4887",3.11833877110715,0.0343098834606732,0.72004278465827,"g__Propionivibrio"
"g__Nanosynbacter_HROM_Genome_3803",-1.95061246361851,0.0344447947877238,0.72004278465827,"g__Nanosynbacter"
"g__Rothia_HROM_Genome_0113",-2.99963207001364,0.0354958372559405,0.726752069339436,"g__Rothia"
"g__Streptococcus_HROM_Genome_2320",4.68334289853597,0.0355520776355757,0.726752069339436,"g__Streptococcus"
"g__Oribacterium_HROM_Genome_1777",-2.16093459129014,0.0366408817826647,0.726752069339436,"g__Oribacterium"
"g__Veillonella_HROM_Genome_2816",2.68523542879114,0.0367662185574208,0.726752069339436,"g__Veillonella"
"g__CAJPNX01_HROM_Genome_4853",2.98417527119506,0.0370981442800987,0.726752069339436,"g__CAJPNX01"
"s__Campylobacter_A showae_B",3.89047502162633,0.0372368369615382,0.726752069339436,"g__Campylobacter_A"
"g__Fretibacterium_HROM_Genome_5105",2.17657771039561,0.0377132049992353,0.726752069339436,"g__Fretibacterium"
"g__Streptococcus_HROM_Genome_2117",-3.97297305229678,0.0380239672248362,0.726752069339436,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2356",4.48635741013278,0.0380943832783521,0.726752069339436,"g__Streptococcus"
"o__Saccharimonadales_HROM_Genome_3880",3.68278047426982,0.0388641767531967,0.733986868659892,"g__"
"g__Nanoperiomorbus_HROM_Genome_2968",-2.52735813323829,0.0392206723711393,0.733986868659892,"g__Nanoperiomorbus"
"g__Centipeda_HROM_Genome_2753",1.87074504268147,0.0396846726225522,0.735663978333161,"g__Centipeda"
"g__Kingella_B_HROM_Genome_4856",2.40113817469826,0.0407580635016337,0.737040603914326,"g__Kingella_B"
"g__Nanoperiomorbus_HROM_Genome_3114",-4.50068725588258,0.0409871046633013,0.737040603914326,"g__Nanoperiomorbus"
"g__Streptococcus_HROM_Genome_2191",4.51308685889387,0.0411977869151359,0.737040603914326,"g__Streptococcus"
"g__Aggregatibacter_HROM_Genome_4966",2.28577171170835,0.0415648603697868,0.737040603914326,"g__Aggregatibacter"
"s__Porphyromonas sp905372565",2.68552829805663,0.042918219004032,0.737040603914326,"g__Porphyromonas"
"s__Leptotrichia_A sp001274535",2.33663674108251,0.0437544995230733,0.737040603914326,"g__Leptotrichia_A"
"g__Streptococcus_HROM_Genome_2312",3.70206317269926,0.0439657863466095,0.737040603914326,"g__Streptococcus"
"s__Slackia exigua",-1.48601065915891,0.0440602098787964,0.737040603914326,"g__Slackia"
"s__Campylobacter_A sp014253065",3.15912159027303,0.0449699436216676,0.737040603914326,"g__Campylobacter_A"
"g__Oribacterium_HROM_Genome_1885",-2.61416408626049,0.0451689348763384,0.737040603914326,"g__Oribacterium"
"g__Streptococcus_HROM_Genome_2219",-3.63716140384805,0.0453202704095572,0.737040603914326,"g__Streptococcus"
"g__Nanosyncoccus_HROM_Genome_4481",-3.89332304599037,0.0454017113246139,0.737040603914326,"g__Nanosyncoccus"
"s__Saccharimonas sp905365145",-3.48634798870417,0.0456325483279168,0.737040603914326,"g__Saccharimonas"
"s__Rothia mucilaginosa",-2.19227104869023,0.0458301156674146,0.737040603914326,"g__Rothia"
"s__Arachnia sp013333945",2.38072319684801,0.0467527037362503,0.737040603914326,"g__Arachnia"
"s__Campylobacter_A showae_A",2.4565837767863,0.0468409851017163,0.737040603914326,"g__Campylobacter_A"
"s__Lancefieldella sp015259045",-3.02682512189223,0.0476615547542345,0.737040603914326,"g__Lancefieldella"
"g__Prevotella_HROM_Genome_1016",1.76746817291425,0.0477464015726203,0.737040603914326,"g__Prevotella"
"s__Aggregatibacter actinomycetemcomitans",3.7884101935038,0.0478079982506523,0.737040603914326,"g__Aggregatibacter"
"s__Streptococcus lactarius",-3.6597681997944,0.0486285159434194,0.737040603914326,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2122",4.1344303714114,0.048879448477718,0.737040603914326,"g__Streptococcus"
"g__Pauljensenia_HROM_Genome_0231",-2.74729768786409,0.0489931102851092,0.737040603914326,"g__Pauljensenia"
"s__CAJPSE01 sp905373185",2.45210587617806,0.0494404525885251,0.737040603914326,"g__CAJPSE01"
"g__Oribacterium_HROM_Genome_1762",-4.07393366185847,0.0496053576450583,0.737040603914326,"g__Oribacterium"
"s__Granulicatella sp900551535",-3.03563240601454,0.0501153886357099,0.737040603914326,"g__Granulicatella"
"g__Granulicatella_HROM_Genome_2594",-2.04237821101849,0.0501734402747514,0.737040603914326,"g__Granulicatella"
"g__F0422_HROM_Genome_2763",-2.4112608282443,0.0502137811214992,0.737040603914326,"g__F0422"
"s__Leptotrichia hofstadii",2.21455712838266,0.0502612930913586,0.737040603914326,"g__Leptotrichia"
"g__Porphyromonas_HROM_Genome_1105",1.97407928430636,0.0512175448702755,0.745499819778455,"g__Porphyromonas"
"g__Prevotella_HROM_Genome_1003",3.4232225312252,0.0520168487811845,0.750311825387687,"g__Prevotella"
"s__Oribacterium asaccharolyticum",-2.49362515940239,0.0523118168336454,0.750311825387687,"g__Oribacterium"
"s__Actinomyces naeslundii",1.91919284199083,0.0529785966923493,0.754369148554105,"g__Actinomyces"
"s__Saccharimonas sp018127705",-3.55319820531683,0.0545024349339825,0.770484062196228,"g__Saccharimonas"
"s__Streptococcus rubneri",-1.2957021049737,0.0554841568062924,0.775831063625635,"g__Streptococcus"
"g__Oribacterium_HROM_Genome_1827",-2.39053843054321,0.0560461698803901,0.775831063625635,"g__Oribacterium"
"g__Lancefieldella_HROM_Genome_0863",-3.14648910321702,0.0560651455648042,0.775831063625635,"g__Lancefieldella"
"g__Catonella_HROM_Genome_1689",3.40715768887372,0.0573179642020614,0.787620976622732,"g__Catonella"
"g__Catonella_HROM_Genome_1681",-3.32536072293323,0.0581066547572786,0.791236128090462,"g__Catonella"
"s__Fusobacterium sp000235465",4.14815949537445,0.058479847853531,0.791236128090462,"g__Fusobacterium"
"g__Pauljensenia_HROM_Genome_0227",-2.50194476039679,0.0587890456494695,0.791236128090462,"g__Pauljensenia"
"g__Saccharimonas_HROM_Genome_3624",-2.6427687706334,0.0602642203123456,0.792800988037857,"g__Saccharimonas"
"g__Leptotrichia_A_HROM_Genome_2883",1.93633560623354,0.0602907886498444,0.792800988037857,"g__Leptotrichia_A"
"s__Streptococcus constellatus",-1.11510052595533,0.0615358786672495,0.792800988037857,"g__Streptococcus"
"g__Oribacterium_HROM_Genome_1742",-2.43743549272328,0.0620883702516882,0.792800988037857,"g__Oribacterium"
"s__Haemophilus_A parahaemolyticus",3.03219981113734,0.062937272235105,0.792800988037857,"g__Haemophilus_A"
"g__Caviibacter_HROM_Genome_2910",4.28229197762637,0.0633036758726855,0.792800988037857,"g__Caviibacter"
"g__Bergeyella_A_HROM_Genome_1209",4.34691969634715,0.063575370989046,0.792800988037857,"g__Bergeyella_A"
"g__Campylobacter_A_HROM_Genome_1641",2.82498349639009,0.0640540630226691,0.792800988037857,"g__Campylobacter_A"
"g__Centipeda_HROM_Genome_2738",1.70841177361544,0.0641604563157398,0.792800988037857,"g__Centipeda"
"g__Streptococcus_HROM_Genome_2371",-3.13851077539344,0.0643578539152742,0.792800988037857,"g__Streptococcus"
"g__Nanosyncoccus_HROM_Genome_4400",3.15503931656424,0.0651517410954505,0.792800988037857,"g__Nanosyncoccus"
"g__Campylobacter_A_HROM_Genome_1556",2.6860110000205,0.065270944942921,0.792800988037857,"g__Campylobacter_A"
"o__Chitinophagales_HROM_Genome_1175",1.73156669242019,0.0653036908191717,0.792800988037857,"g__"
"o__Rs-D84_HROM_Genome_4806",3.30212587567155,0.0654020670593318,0.792800988037857,"g__"
"g__JABCPE02_HROM_Genome_1191",2.41425066556077,0.0654327054694697,0.792800988037857,"g__JABCPE02"
"g__Streptococcus_HROM_Genome_2368",-3.54896648964961,0.0656769959685584,0.792800988037857,"g__Streptococcus"
"s__Leptotrichia massiliensis",1.85042317775645,0.0660485970376544,0.792800988037857,"g__Leptotrichia"
"g__Pauljensenia_HROM_Genome_0235",-2.57060724308824,0.0661676142688084,0.792800988037857,"g__Pauljensenia"
"g__Nanosyncoccus_HROM_Genome_2938",3.12434931948466,0.0673616999057382,0.795939743346117,"g__Nanosyncoccus"
"g__Streptococcus_HROM_Genome_2535",-2.62465857630236,0.0677007324294377,0.795939743346117,"g__Streptococcus"
"f__Carnobacteriaceae_HROM_Genome_2084",-3.25391738083374,0.067868563755346,0.795939743346117,"g__"
"g__Prevotella_HROM_Genome_0970",3.02448969923207,0.0680498101181413,0.795939743346117,"g__Prevotella"
"g__Streptococcus_HROM_Genome_2244",-4.49858379021742,0.0685439625078009,0.796975658744549,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2324",-3.48156871230436,0.069836473734074,0.802078672926455,"g__Streptococcus"
"g__Campylobacter_A_HROM_Genome_1597",4.43962347633732,0.0700446629736143,0.802078672926455,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1598",4.2506723155389,0.0702073952892368,0.802078672926455,"g__Campylobacter_A"
"s__Rothia mucilaginosa_A",-4.49769095495345,0.0719011804328508,0.806651080031069,"g__Rothia"
"s__Streptococcus sp013394695",-2.98488249082076,0.0722767363302275,0.806651080031069,"g__Streptococcus"
"g__Pauljensenia_HROM_Genome_0285",-1.26845953885066,0.07258845553641,0.806651080031069,"g__Pauljensenia"
"g__JABCPE02_HROM_Genome_1185",3.60189532255869,0.0727282590913888,0.806651080031069,"g__JABCPE02"
"s__Rothia sp902373285",-3.17665684879369,0.0730774761185214,0.806651080031069,"g__Rothia"
"s__Lancefieldella sp015258715",-2.68758290992156,0.0741886456034276,0.806651080031069,"g__Lancefieldella"
"g__Campylobacter_B_HROM_Genome_1420",-2.14339746684674,0.0747940855294101,0.806651080031069,"g__Campylobacter_B"
"g__CAJPSE01_HROM_Genome_5102",1.93309403468355,0.0748387001123604,0.806651080031069,"g__CAJPSE01"
"g__Campylobacter_A_HROM_Genome_1348",-2.85977604023096,0.0749365494753455,0.806651080031069,"g__Campylobacter_A"
"g__Lancefieldella_HROM_Genome_0485",-2.46761501697408,0.0750389860166078,0.806651080031069,"g__Lancefieldella"
"g__Treponema_D_HROM_Genome_5082",1.85940684254144,0.0762052582785542,0.806651080031069,"g__Treponema_D"
"s__Gemella haemolysans_B",3.29861996499205,0.0762430786428904,0.806651080031069,"g__Gemella"
"g__Rothia_HROM_Genome_0121",-3.14955309656525,0.0763049046169544,0.806651080031069,"g__Rothia"
"s__Campylobacter_A concisus_Z",3.06877691124862,0.0767022557947175,0.806651080031069,"g__Campylobacter_A"
"g__Nanogingivalis_HROM_Genome_3862",3.1090960819804,0.0767652681759847,0.806651080031069,"g__Nanogingivalis"
"g__Campylobacter_A_HROM_Genome_1323",-2.01202097925668,0.0777981413283743,0.813156104841784,"g__Campylobacter_A"
"s__Streptococcus mitis_BK",-3.91526447916444,0.0785232618375421,0.816392642914128,"g__Streptococcus"
"g__Campylobacter_A_HROM_Genome_1603",3.9848945157959,0.0790126909248515,0.817157566670174,"g__Campylobacter_A"
"g__Treponema_B_HROM_Genome_5023",2.72194268567508,0.0817365758658968,0.826998452273085,"g__Treponema_B"
"g__Streptococcus_HROM_Genome_2111",-1.61202076417192,0.0819110605518275,0.826998452273085,"g__Streptococcus"
"s__Haemophilus haemolyticus",1.93134665369716,0.0819868037471457,0.826998452273085,"g__Haemophilus"
"g__Streptococcus_HROM_Genome_2268",-3.66981408217767,0.0826176351065893,0.826998452273085,"g__Streptococcus"
"g__Campylobacter_A_HROM_Genome_1362",-2.57409549423922,0.0827281322893828,0.826998452273085,"g__Campylobacter_A"
"g__Nanosynbacter_HROM_Genome_3510",-2.25693051222475,0.0831381270391743,0.826998452273085,"g__Nanosynbacter"
"g__Selenomonas_HROM_Genome_2712",2.18477011503491,0.0831577570223688,0.826998452273085,"g__Selenomonas"
"g__Pauljensenia_HROM_Genome_0238",-2.33535211691789,0.0840171826540158,0.826998452273085,"g__Pauljensenia"
"g__Streptococcus_HROM_Genome_2482",3.4999732558119,0.0840491873585355,0.826998452273085,"g__Streptococcus"
"s__Eubacterium_B sulci",-1.77798401649555,0.0843161874833076,0.826998452273085,"g__Eubacterium_B"
"s__Streptococcus oralis_S",-3.33371136745536,0.0845937348126667,0.826998452273085,"g__Streptococcus"
"g__Porphyromonas_HROM_Genome_1104",1.43810325082451,0.085597112470295,0.832664980218464,"g__Porphyromonas"
"s__Abiotrophia defectiva",2.269110292051,0.0866738515680597,0.838224260794842,"g__Abiotrophia"
"s__Streptococcus parasanguinis",-2.00748182074816,0.0874157664539887,0.838224260794842,"g__Streptococcus"
"g__Centipeda_HROM_Genome_2751",1.18901057574957,0.0874483325511158,0.838224260794842,"g__Centipeda"
"g__Gemella_HROM_Genome_2686",3.47236673857577,0.089644518582434,0.848058045617288,"g__Gemella"
"g__Saccharimonas_HROM_Genome_3319",3.22043921187325,0.0899965571216737,0.848058045617288,"g__Saccharimonas"
"g__Streptococcus_HROM_Genome_2223",3.15310412180162,0.090025275095421,0.848058045617288,"g__Streptococcus"
"s__Neisseria bacilliformis",1.63699275413484,0.0905766338768807,0.848058045617288,"g__Neisseria"
"g__Streptococcus_HROM_Genome_2093",-2.30625449629122,0.091139630987871,0.848058045617288,"g__Streptococcus"
"s__Streptococcus sp905221165",3.43562670400571,0.0913543557883795,0.848058045617288,"g__Streptococcus"
"s__Alloprevotella tannerae",1.21793024748782,0.0914953209520942,0.848058045617288,"g__Alloprevotella"
"s__Streptococcus oralis",-2.58494387875189,0.0925574489639977,0.849825839735554,"g__Streptococcus"
"g__Campylobacter_A_HROM_Genome_1521",2.80646637765303,0.092710470442764,0.849825839735554,"g__Campylobacter_A"
"s__Pauljensenia sp900541895",-2.41654241023766,0.0934042870991722,0.849825839735554,"g__Pauljensenia"
"g__Kingella_B_HROM_Genome_4873",1.70879516241398,0.0934159701694044,0.849825839735554,"g__Kingella_B"
"s__Streptococcus infantis_F",2.08092040848945,0.094212836049173,0.853125450860023,"g__Streptococcus"
"g__Prevotella_HROM_Genome_0968",-1.98151134957795,0.0954932901283119,0.860753739000609,"g__Prevotella"
"g__Campylobacter_A_HROM_Genome_1607",3.55708685366166,0.0965831667595853,0.862938649771527,"g__Campylobacter_A"
"s__Streptococcus infantis_C",-3.22546309981212,0.0966139964120793,0.862938649771527,"g__Streptococcus"
"s__Eikenella corrodens_B",1.63853007457994,0.0973312664723005,0.86325971152608,"g__Eikenella"
"g__Streptococcus_HROM_Genome_2100",-2.53478389544478,0.0979703623002327,0.86325971152608,"g__Streptococcus"
"s__Streptococcus oralis_H",-3.63493147991097,0.0982901075618737,0.86325971152608,"g__Streptococcus"
"g__Prevotella_HROM_Genome_1014",1.42424991723641,0.098481581523233,0.86325971152608,"g__Prevotella"
"g__Nanosynbacter_HROM_Genome_3442",-3.32517190606976,0.0988465318541313,0.86325971152608,"g__Nanosynbacter"
"g__Streptococcus_HROM_Genome_2332",-3.05328449250046,0.10008694179427,0.87022495852098,"g__Streptococcus"
"g__W11650_HROM_Genome_1879",2.66873645869912,0.101415954437205,0.876268197201448,"g__W11650"
"g__Streptococcus_HROM_Genome_2370",-2.89559883441693,0.101673867156199,0.876268197201448,"g__Streptococcus"
"s__Nanosynbacter sp900557595",-2.82633462235701,0.102970786893742,0.883570289284733,"g__Nanosynbacter"
"g__Pauljensenia_HROM_Genome_0230",-2.56302393097709,0.104079218175067,0.885127938749572,"g__Pauljensenia"
"s__Parvimonas sp000214475",-2.12521114700452,0.10490851946823,0.885127938749572,"g__Parvimonas"
"s__Saccharimonas sp010202265",-3.38697486522221,0.105593586703356,0.885127938749572,"g__Saccharimonas"
"g__Granulicatella_HROM_Genome_2624",-1.88636789451336,0.105862438998437,0.885127938749572,"g__Granulicatella"
"g__Pauljensenia_HROM_Genome_0267",-1.45143270539215,0.10590481993596,0.885127938749572,"g__Pauljensenia"
"g__Campylobacter_A_HROM_Genome_1320",2.44853866499508,0.106123689430124,0.885127938749572,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1257",-2.6186150225351,0.107633963495825,0.885127938749572,"g__Campylobacter_A"
"s__Streptococcus mitis_BA",-2.84748642791445,0.108147777070235,0.885127938749572,"g__Streptococcus"
"g__Pauljensenia_HROM_Genome_0259",-1.61136750810317,0.108244720113483,0.885127938749572,"g__Pauljensenia"
"g__Oribacterium_HROM_Genome_1778",2.46571572328879,0.108648065002509,0.885127938749572,"g__Oribacterium"
"s__Campylobacter_A rectus",1.73302369843603,0.108651931904522,0.885127938749572,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2461",-3.36480116712059,0.110010323375497,0.885127938749572,"g__Streptococcus"
"g__Granulicatella_HROM_Genome_2603",-2.69278522608738,0.110515524928766,0.885127938749572,"g__Granulicatella"
"s__Arachnia rubra",2.14530699011898,0.110896896793637,0.885127938749572,"g__Arachnia"
"g__Streptococcus_HROM_Genome_2353",-3.44938551867843,0.111623347210307,0.885127938749572,"g__Streptococcus"
"g__Capnocytophaga_HROM_Genome_1228",1.21370510661343,0.111842899992236,0.885127938749572,"g__Capnocytophaga"
"s__Fusobacterium nucleatum_J",2.88157388864861,0.111843921059219,0.885127938749572,"g__Fusobacterium"
"g__Campylobacter_A_HROM_Genome_1585",2.19638895471766,0.111947222474264,0.885127938749572,"g__Campylobacter_A"
"s__Nanogingivalis sp900555945",-2.55964406786458,0.112116235560596,0.885127938749572,"g__Nanogingivalis"
"g__Nanosynbacter_HROM_Genome_3499",-2.42439872598538,0.112282466854483,0.885127938749572,"g__Nanosynbacter"
"s__Streptococcus mitis_BD",2.20097206860333,0.112975082935237,0.885127938749572,"g__Streptococcus"
