"feature","glr","p","padj","Genus"
"g__JABCPE02_HROM_Genome_1196",2.8039717727676,0.000564235767038887,0.042957042957043,"g__JABCPE02"
"g__JABCPE02_HROM_Genome_1191",3.4768374755778,0.000679974229287973,0.042957042957043,"g__JABCPE02"
"g__JABCPE02_HROM_Genome_1204",2.14485680750238,0.000682798435202531,0.042957042957043,"g__JABCPE02"
"g__JABCPE02_HROM_Genome_1200",2.19461723137076,0.000992345595701949,0.0501498501498501,"g__JABCPE02"
"g__JABCPE02_HROM_Genome_1202",1.7205222907044,0.000993639050977045,0.0501498501498501,"g__JABCPE02"
"s__Oribacterium sinus",-2.6895179113001,0.001193311348114,0.0574425574425574,"g__Oribacterium"
"g__Streptococcus_HROM_Genome_2457",2.9450215625582,0.00170003065158377,0.0772977022977023,"g__Streptococcus"
"s__JABCPE02 sp013333255",1.73271101635152,0.00170814901633615,0.0772977022977023,"g__JABCPE02"
"s__Oribacterium asaccharolyticum",-3.15307747242855,0.00203364368467081,0.0911310911310911,"g__Oribacterium"
"g__CAJPNX01_HROM_Genome_4853",3.87414755035987,0.00227204283226591,0.0969030969030969,"g__CAJPNX01"
"s__JABCPE02 sp013333875",1.55098487357498,0.00242068443267244,0.0969030969030969,"g__JABCPE02"
"g__JABCPE02_HROM_Genome_1203",1.99253067231952,0.00338207043534233,0.1496003996004,"g__JABCPE02"
"g__JABCPE02_HROM_Genome_1206",2.1674934185873,0.00471321257904246,0.219626527318835,"g__JABCPE02"
"s__Leptotrichia buccalis",3.85717236962932,0.006953179599841,0.325531611245897,"g__Leptotrichia"
"g__Eikenella_HROM_Genome_4848",1.78382496876989,0.00757501764918808,0.339597902097902,"g__Eikenella"
"s__Neisseria meningitidis",1.52838424929817,0.00758172298827015,0.339597902097902,"g__Neisseria"
"g__JABCPE02_HROM_Genome_1186",2.8516771331846,0.00630997624054051,0.344544344544345,"g__JABCPE02"
"s__Porphyromonas sp905372565",4.89717249163269,0.00882928781328296,0.344544344544345,"g__Porphyromonas"
"s__Neisseria sp002237445",1.69840832433128,0.00883682921177212,0.344544344544345,"g__Neisseria"
"g__Campylobacter_A_HROM_Genome_1597",1.80538434487923,0.00938384984003874,0.344544344544345,"g__Campylobacter_A"
"g__Arachnia_HROM_Genome_0390",3.80153259470336,0.00980608699359183,0.344544344544345,"g__Arachnia"
"g__Granulicatella_HROM_Genome_2582",2.51832915204191,0.00992304337432207,0.344544344544345,"g__Granulicatella"
"g__Leptotrichia_HROM_Genome_2869",2.39048896055258,0.0101059122695481,0.344544344544345,"g__Leptotrichia"
"s__Bergeyella_A cardium",3.46069878455222,0.0102405802070053,0.344544344544345,"g__Bergeyella_A"
"g__JABCPE02_HROM_Genome_1195",2.14946524616182,0.010274382407784,0.344544344544345,"g__JABCPE02"
"s__Leptotrichia shahii",2.49987521516002,0.0117281229396167,0.344544344544345,"g__Leptotrichia"
"g__JABCPE02_HROM_Genome_1185",4.00687396332497,0.011793388563398,0.344544344544345,"g__JABCPE02"
"s__Neisseria flavescens",1.41683745301926,0.011916484555065,0.344544344544345,"g__Neisseria"
"g__Granulicatella_HROM_Genome_2610",2.05527168007295,0.013203007701116,0.344544344544345,"g__Granulicatella"
"g__Actinomyces_HROM_Genome_0320",2.66085506560927,0.0135772606077295,0.344544344544345,"g__Actinomyces"
"s__Leptotrichia_A sp905371725",2.6260921460051,0.0136820533554427,0.344544344544345,"g__Leptotrichia_A"
"g__Porphyromonas_HROM_Genome_1102",2.50111581249955,0.013745102017887,0.344544344544345,"g__Porphyromonas"
"g__Kingella_A_HROM_Genome_4854",1.82407150544199,0.0137766749106499,0.344544344544345,"g__Kingella_A"
"s__Johnsonella sp905373785",1.78203871861633,0.0147055014769083,0.344544344544345,"g__Johnsonella"
"g__Haemophilus_A_HROM_Genome_4931",3.54483107276739,0.0147055014769083,0.344544344544345,"g__Haemophilus_A"
"s__F0058 sp905372605",2.52567700541078,0.0148052736236266,0.344544344544345,"g__F0058"
"g__Streptococcus_HROM_Genome_2435",1.81188181004047,0.0149428870312284,0.350795545917497,"g__Streptococcus"
"g__JABCPE02_HROM_Genome_1197",2.41365025779267,0.0152632246991876,0.350795545917497,"g__JABCPE02"
"g__Streptococcus_HROM_Genome_2540",2.51440051503116,0.0152632246991876,0.350795545917497,"g__Streptococcus"
"g__Ottowia_HROM_Genome_4905",3.02387861565745,0.0158658857192707,0.350795545917497,"g__Ottowia"
"g__Neisseria_HROM_Genome_4852",3.70757368438625,0.0159009588707338,0.350795545917497,"g__Neisseria"
"g__Campylobacter_A_HROM_Genome_1541",2.36938684678611,0.0159041950550204,0.383225470181992,"g__Campylobacter_A"
"s__Kingella kingae",3.12039925522551,0.0174456047503175,0.383225470181992,"g__Kingella"
"g__Oribacterium_HROM_Genome_1757",-1.92552588161081,0.0180626720709031,0.383225470181992,"g__Oribacterium"
"s__Streptococcus infantis_B",-1.59933482599136,0.0181916710116812,0.383225470181992,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2428",2.49827835005046,0.019504748725585,0.383225470181992,"g__Streptococcus"
"s__Campylobacter_A showae_B",1.96471079434196,0.0136657438744198,0.396180742334588,"g__Campylobacter_A"
"g__Gemella_HROM_Genome_2693",2.36040686716862,0.0187348005650419,0.396180742334588,"g__Gemella"
"s__Campylobacter_A sp905372745",3.62129189625505,0.0209855259836952,0.396180742334588,"g__Campylobacter_A"
"s__Granulicatella sp900551535",-1.08117564470488,0.0209855259836952,0.396180742334588,"g__Granulicatella"
"s__Haemophilus_A parahaemolyticus",3.81970356944753,0.0209855259836952,0.396180742334588,"g__Haemophilus_A"
"s__Neisseria bacilliformis",2.17259336863594,0.0210426968274546,0.396180742334588,"g__Neisseria"
"g__Prevotella_HROM_Genome_1003",3.25459532280952,0.0201065762850944,0.397941680960549,"g__Prevotella"
"s__Streptococcus oralis_S",-2.41870464232882,0.0126678138341591,0.399567645469285,"g__Streptococcus"
"s__Capnocytophaga bilenii",2.84145155059678,0.0241101181798572,0.399567645469285,"g__Capnocytophaga"
"g__JABCPE02_HROM_Genome_1187",1.62513465628169,0.0241101181798572,0.399567645469285,"g__JABCPE02"
"s__Eikenella corrodens_B",1.35782120492583,0.0241101181798572,0.399567645469285,"g__Eikenella"
"g__Neisseria_HROM_Genome_4837",1.22408878369842,0.0241101181798572,0.399567645469285,"g__Neisseria"
"s__Neisseria subflava",1.20109558622662,0.0241101181798572,0.399567645469285,"g__Neisseria"
"s__Neisseria subflava_C",1.10089722511881,0.0241101181798572,0.399567645469285,"g__Neisseria"
"g__Cardiobacterium_HROM_Genome_4914",1.93255729595289,0.0241101181798572,0.399567645469285,"g__Cardiobacterium"
"g__Streptococcus_HROM_Genome_2446",2.24098090420119,0.0215302783203962,0.426141023155949,"g__Streptococcus"
"s__Haemophilus_A paraphrohaemolyticus",3.41075794713042,0.0255135097521315,0.426141023155949,"g__Haemophilus_A"
"s__Haemophilus_A parahaemolyticus_A",3.3862683762591,0.0265972713283871,0.426141023155949,"g__Haemophilus_A"
"g__Granulicatella_HROM_Genome_2591",2.38106238677268,0.0275406992807685,0.426141023155949,"g__Granulicatella"
"s__Prevotella sp018127805",2.62920348860607,0.0275579533778251,0.426141023155949,"g__Prevotella"
"s__Ottowia sp001262075",3.34027680143165,0.0275579533778251,0.426141023155949,"g__Ottowia"
"g__Granulicatella_HROM_Genome_2574",1.79151134619689,0.0195132945807325,0.459040959040959,"g__Granulicatella"
"g__Streptococcus_HROM_Genome_2342",2.14082185849595,0.0195132945807325,0.459040959040959,"g__Streptococcus"
"s__Bulleidia extructa",-3.32955833140096,0.0214658461904833,0.459040959040959,"g__Bulleidia"
"g__JABCPE02_HROM_Genome_1201",1.85487583639429,0.0248021530010741,0.459040959040959,"g__JABCPE02"
"s__Prevotella sp905373605",1.56598043527063,0.0310463896273949,0.459040959040959,"g__Prevotella"
"s__Pauljensenia sp001838165",-1.60742994989846,0.0314229788863574,0.459040959040959,"g__Pauljensenia"
"s__Capnocytophaga sp002999135",2.12508741513045,0.0314229788863574,0.459040959040959,"g__Capnocytophaga"
"g__Gemella_HROM_Genome_2686",1.81999968693208,0.031881262941764,0.463429903429903,"g__Gemella"
"g__Oribacterium_HROM_Genome_1848",-1.3184706968124,0.00462401353610765,0.492129821398114,"g__Oribacterium"
"s__Neisseria cinerea",1.38651821964717,0.0357440462137047,0.492129821398114,"g__Neisseria"
"s__Neisseria polysaccharea",1.24964314220461,0.0357440462137047,0.492129821398114,"g__Neisseria"
"g__Bergeyella_A_HROM_Genome_1209",3.40725069382223,0.036299439569255,0.492129821398114,"g__Bergeyella_A"
"s__Streptococcus cristatus_B",2.01171725610114,0.0373401862294235,0.492129821398114,"g__Streptococcus"
"g__Kingella_B_HROM_Genome_4872",2.99156994214162,0.0380668567396754,0.492129821398114,"g__Kingella_B"
"s__Treponema_D paredis",2.34098857851712,0.0380668567396754,0.492129821398114,"g__Treponema_D"
"g__Campylobacter_A_HROM_Genome_1577",1.60567517175419,0.0273542405464136,0.506257893050346,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1598",1.6448717222544,0.0273542405464136,0.506257893050346,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1612",1.15299186729107,0.0273542405464136,0.506257893050346,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2223",1.43423239304133,0.0273542405464136,0.506257893050346,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2354",2.03751794341641,0.0273542405464136,0.506257893050346,"g__Streptococcus"
"s__Streptococcus mitis_BD",1.53506922383207,0.0273542405464136,0.506257893050346,"g__Streptococcus"
"s__Saccharimonas sp010202265",-3.2437641180334,0.032888122973519,0.506257893050346,"g__Saccharimonas"
"g__Streptococcus_HROM_Genome_2469",2.12047048580879,0.032934216503552,0.506257893050346,"g__Streptococcus"
"s__Gemella haemolysans_B",2.36596057744297,0.0369211245320345,0.506257893050346,"g__Gemella"
"s__Rodentibacter sp901420285",1.87480384785629,0.0404727324101089,0.506257893050346,"g__Rodentibacter"
"s__Pauljensenia sp000185285",-2.14658525652393,0.0405619986128162,0.506257893050346,"g__Pauljensenia"
"s__Alloprevotella sp015259235",2.7227453334402,0.0405619986128162,0.506257893050346,"g__Alloprevotella"
"g__JABCPE02_HROM_Genome_1199",1.18573392566513,0.0405619986128162,0.506257893050346,"g__JABCPE02"
"s__Veillonella parvula_A",-1.35655564639769,0.0405619986128162,0.506257893050346,"g__Veillonella"
"g__Abiotrophia_HROM_Genome_2562",2.34220515277612,0.0429383895332399,0.506257893050346,"g__Abiotrophia"
"g__Ottowia_HROM_Genome_4903",2.94802429339774,0.0429383895332399,0.506257893050346,"g__Ottowia"
"s__Actinomyces johnsonii",3.00585342496407,0.04314735461141,0.506257893050346,"g__Actinomyces"
"g__Granulicatella_HROM_Genome_2601",2.85495147549389,0.0450755171342956,0.506257893050346,"g__Granulicatella"
"g__Streptococcus_HROM_Genome_2260",1.14280140446155,0.0454368434659626,0.506257893050346,"g__Streptococcus"
"s__Streptococcus oralis_BC",-2.01072190299288,0.0454368434659626,0.506257893050346,"g__Streptococcus"
"s__Actinomyces naeslundii",2.52262401133266,0.0459195553587152,0.506257893050346,"g__Actinomyces"
"s__Capnocytophaga sp000192225",1.2846112590573,0.0459195553587152,0.506257893050346,"g__Capnocytophaga"
"s__Catonella massiliensis",-1.23965624346732,0.0459195553587152,0.506257893050346,"g__Catonella"
"s__Centipeda sp000468035",1.48582340050371,0.0459195553587152,0.506257893050346,"g__Centipeda"
"s__Leptotrichia trevisanii",2.14476369434627,0.0479373091894645,0.513505186402383,"g__Leptotrichia"
"g__Gemella_HROM_Genome_2673",3.29216874647812,0.0475932061398005,0.524526755295986,"g__Gemella"
"g__Granulicatella_HROM_Genome_2576",2.03626230881739,0.0496798901032597,0.524526755295986,"g__Granulicatella"
"s__Desulfobulbus oralis",-2.73296781539629,0.0504051048997534,0.524526755295986,"g__Desulfobulbus"
"g__Streptococcus_HROM_Genome_2534",2.34132920352154,0.0513403015874972,0.524526755295986,"g__Streptococcus"
"g__Leptotrichia_HROM_Genome_2872",3.1687147876519,0.0513403015874972,0.524526755295986,"g__Leptotrichia"
"g__Gemella_HROM_Genome_2692",2.07210773388069,0.0516006170382657,0.524526755295986,"g__Gemella"
"s__Leptotrichia sp000469385",2.5504529202336,0.0516006170382657,0.524526755295986,"g__Leptotrichia"
"s__Johnsonella sp900766185",2.32142965789621,0.051756916395706,0.524526755295986,"g__Johnsonella"
"s__F0058 sp905372135",1.4143624507993,0.0518350968004313,0.524526755295986,"g__F0058"
"s__Kingella_B oralis",-1.71995921221055,0.0518611614689971,0.524526755295986,"g__Kingella_B"
"g__Streptococcus_HROM_Genome_2191",2.59993995535754,0.0430210424998963,0.527464132506149,"g__Streptococcus"
"s__Peptidiphaga sp905373325",2.74103001462338,0.0547950148008945,0.527464132506149,"g__Peptidiphaga"
"g__Rothia_HROM_Genome_0083",1.75706417030343,0.0376939218157795,0.545820192879016,"g__Rothia"
"g__Campylobacter_A_HROM_Genome_1625",1.23022109786249,0.0376939218157795,0.545820192879016,"g__Campylobacter_A"
"g__Nanoperiomorbus_HROM_Genome_3175",1.39113154397145,0.0376939218157795,0.545820192879016,"g__Nanoperiomorbus"
"g__Nanosynbacter_HROM_Genome_3426",2.29526444461459,0.0376939218157795,0.545820192879016,"g__Nanosynbacter"
"g__Pauljensenia_HROM_Genome_0238",-1.93179788798343,0.0483758012810538,0.545820192879016,"g__Pauljensenia"
"g__Campylobacter_A_HROM_Genome_1525",2.10607790737645,0.0483758012810538,0.545820192879016,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1621",1.52254758163168,0.0491597158619365,0.545820192879016,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2490",1.72104862716785,0.0491597158619365,0.545820192879016,"g__Streptococcus"
"s__Streptococcus cristatus_F",2.19980622325838,0.0491597158619365,0.545820192879016,"g__Streptococcus"
"g__Nanosyncoccus_HROM_Genome_4793",-2.17653002431023,0.0522010973953294,0.545820192879016,"g__Nanosyncoccus"
"g__Peptoanaerobacter_HROM_Genome_1937",2.43221726856207,0.0523164935028357,0.545820192879016,"g__Peptoanaerobacter"
"g__Campylobacter_A_HROM_Genome_1607",1.42376619548113,0.0556039356822704,0.545820192879016,"g__Campylobacter_A"
"s__Fusobacterium periodonticum",1.74666141340293,0.0556039356822704,0.545820192879016,"g__Fusobacterium"
"s__Leptotrichia sp002240055",3.57266949176732,0.0568663857254291,0.545820192879016,"g__Leptotrichia"
"s__Pauljensenia sp000758755",-1.66810777558013,0.05840477808063,0.545820192879016,"g__Pauljensenia"
"s__Arachnia sp013333945",3.22363795964829,0.05840477808063,0.545820192879016,"g__Arachnia"
"g__Veillonella_HROM_Genome_2823",-1.55634059702583,0.05840477808063,0.545820192879016,"g__Veillonella"
"s__Treponema_C maltophilum",1.35218532421971,0.05840477808063,0.545820192879016,"g__Treponema_C"
"s__Capnocytophaga sp000466425",1.70931012592054,0.0584328010766865,0.545820192879016,"g__Capnocytophaga"
"s__Scardovia wiggsiae",2.50820575373915,0.0591125492438526,0.545820192879016,"g__Scardovia"
"g__Granulicatella_HROM_Genome_2583",2.44937858662029,0.0607472900652137,0.545820192879016,"g__Granulicatella"
"g__Streptococcus_HROM_Genome_2486",2.18626233327378,0.0609548940975285,0.545820192879016,"g__Streptococcus"
"s__Pauljensenia cardiffensis",1.74470792047665,0.0616794977891933,0.545820192879016,"g__Pauljensenia"
"g__Campylobacter_A_HROM_Genome_1641",1.9610876611001,0.0620888277640224,0.545820192879016,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2481",2.90475455029175,0.0620888277640224,0.545820192879016,"g__Streptococcus"
"g__JABCPE02_HROM_Genome_1189",1.6663656643443,0.0646316879136838,0.545820192879016,"g__JABCPE02"
"g__Alloprevotella_HROM_Genome_1050",2.04117683928498,0.0650815225282129,0.545820192879016,"g__Alloprevotella"
"g__Arachnia_HROM_Genome_0394",2.05464652053181,0.06556168082043,0.545820192879016,"g__Arachnia"
"g__Aggregatibacter_HROM_Genome_4966",1.96509558182881,0.06556168082043,0.545820192879016,"g__Aggregatibacter"
"g__Capnocytophaga_HROM_Genome_1214",1.54299865666894,0.0656817730809336,0.545820192879016,"g__Capnocytophaga"
"s__Aggregatibacter kilianii",1.58384133930579,0.0656817730809336,0.545820192879016,"g__Aggregatibacter"
"g__Granulicatella_HROM_Genome_2606",1.32464134066059,0.0669718954071465,0.545820192879016,"g__Granulicatella"
"s__Gemella sp900555985",1.69881029461971,0.0669718954071465,0.545820192879016,"g__Gemella"
"s__Granulicatella elegans",2.67687983714645,0.0684896068866259,0.545820192879016,"g__Granulicatella"
"s__Sphingomonas echinoides",-1.78828568527323,0.033031706281524,0.546867333849582,"g__Sphingomonas"
"g__Streptococcus_HROM_Genome_2328",1.80335853871299,0.0559031805721559,0.546867333849582,"g__Streptococcus"
"s__Streptococcus sp013394695",-1.7914506929316,0.0718623426982619,0.546867333849582,"g__Streptococcus"
"g__Oribacterium_HROM_Genome_1858",-1.71831568563695,0.0718623426982619,0.546867333849582,"g__Oribacterium"
"g__JABCPE02_HROM_Genome_1193",1.56715614823652,0.0730154023831139,0.546867333849582,"g__JABCPE02"
"s__Porphyromonas sp003640335",3.25993744149805,0.0733358783516277,0.546867333849582,"g__Porphyromonas"
"s__Lachnoanaerobaculum sp000209465",2.00327123207098,0.0733358783516277,0.546867333849582,"g__Lachnoanaerobaculum"
"s__Leptotrichia hofstadii",2.06551866199122,0.0733358783516277,0.546867333849582,"g__Leptotrichia"
"s__Porphyromonas sp018127745",2.85885178752584,0.0736243699592126,0.546867333849582,"g__Porphyromonas"
"s__CAJPNX01 sp905372165",2.57184936777344,0.0736243699592126,0.546867333849582,"g__CAJPNX01"
"s__Aggregatibacter segnis",2.12734166104434,0.0736243699592126,0.546867333849582,"g__Aggregatibacter"
"g__Treponema_D_HROM_Genome_5087",1.65349026697855,0.0736243699592126,0.546867333849582,"g__Treponema_D"
"s__Rothia sp001808955",-1.57178356079016,0.0736564281903647,0.546867333849582,"g__Rothia"
"g__Capnocytophaga_HROM_Genome_1217",3.28727131081409,0.0736564281903647,0.546867333849582,"g__Capnocytophaga"
"s__Granulicatella sp905371865",1.51542425200007,0.0736564281903647,0.546867333849582,"g__Granulicatella"
"s__Neisseria sp000186165",0.87355754439343,0.0736564281903647,0.546867333849582,"g__Neisseria"
"g__Pauljensenia_HROM_Genome_0231",-1.54272739435632,0.0629651340019796,0.553639343113027,"g__Pauljensenia"
"g__Granulicatella_HROM_Genome_2607",1.91373537467766,0.0776004068968532,0.553639343113027,"g__Granulicatella"
"g__Pauljensenia_HROM_Genome_0220",-1.32589524712919,0.0321776186433383,0.569792592728373,"g__Pauljensenia"
"g__Pauljensenia_HROM_Genome_0227",-1.60337902217581,0.0446304332163503,0.569792592728373,"g__Pauljensenia"
"g__Corynebacterium_HROM_Genome_0380",1.52927449522482,0.0511248310418718,0.569792592728373,"g__Corynebacterium"
"g__Campylobacter_A_HROM_Genome_1272",1.22135644846633,0.0511248310418718,0.569792592728373,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1353",1.22592133963927,0.0511248310418718,0.569792592728373,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1558",1.29708559844931,0.0511248310418718,0.569792592728373,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1562",1.22875066303053,0.0511248310418718,0.569792592728373,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1575",1.54699644509021,0.0511248310418718,0.569792592728373,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1604",0.991265490110431,0.0511248310418718,0.569792592728373,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2356",1.59656040972496,0.0511248310418718,0.569792592728373,"g__Streptococcus"
"s__Streptococcus mitis_J",1.12139375909546,0.0511248310418718,0.569792592728373,"g__Streptococcus"
"s__Streptococcus shenyangsis",1.54615218644604,0.0511248310418718,0.569792592728373,"g__Streptococcus"
"g__Oribacterium_HROM_Genome_1865",1.34922713171574,0.0511248310418718,0.569792592728373,"g__Oribacterium"
"s__F0422 sp003992055",1.24480918559016,0.0511248310418718,0.569792592728373,"g__F0422"
"g__Oribacterium_HROM_Genome_1885",-1.85326601156308,0.0570995713153289,0.569792592728373,"g__Oribacterium"
"g__Campylobacter_A_HROM_Genome_1608",1.33683154634477,0.0711140818030793,0.569792592728373,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1616",1.15990859259318,0.0717089863597838,0.569792592728373,"g__Campylobacter_A"
"g__Campylobacter_A_HROM_Genome_1284",1.59487935417399,0.0717144023412509,0.569792592728373,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2436",1.06366461511519,0.0717144023412509,0.569792592728373,"g__Streptococcus"
"s__Streptococcus sp000187745",3.05322195700801,0.0749082930543599,0.569792592728373,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2523",1.25285622204338,0.0783140533023994,0.569792592728373,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2341",1.71152824162006,0.0787955439495241,0.569792592728373,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2365",1.96622575702208,0.0812873647992504,0.569792592728373,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2522",1.50526451236682,0.0812873647992504,0.569792592728373,"g__Streptococcus"
"g__Alloprevotella_HROM_Genome_1051",2.58810068635273,0.0817237115521655,0.569792592728373,"g__Alloprevotella"
"s__Streptococcus sp000220065",2.31506689228881,0.0817237115521655,0.569792592728373,"g__Streptococcus"
"s__Treponema_D sp014334335",1.93128335855665,0.0817237115521655,0.569792592728373,"g__Treponema_D"
"g__Prevotella_HROM_Genome_1169",1.46764928442982,0.0822694332387364,0.569792592728373,"g__Prevotella"
"g__Actinomyces_HROM_Genome_0322",1.58950530933265,0.0824058670332309,0.569792592728373,"g__Actinomyces"
"g__Corynebacterium_HROM_Genome_0382",2.59665465496586,0.0824058670332309,0.569792592728373,"g__Corynebacterium"
"s__F0058 sp000163695",1.08892713548688,0.0824058670332309,0.569792592728373,"g__F0058"
"s__Capnocytophaga granulosa",1.48074900701412,0.0824058670332309,0.569792592728373,"g__Capnocytophaga"
"g__Campylobacter_A_HROM_Genome_1258",1.02404553807904,0.084013235357768,0.569792592728373,"g__Campylobacter_A"
"s__Bacteroides zoogleoformans",2.85792574669466,0.0858567102300073,0.569792592728373,"g__Bacteroides"
"s__Actinomyces radicidentis",1.99289207584261,0.0864250541595692,0.569792592728373,"g__Actinomyces"
"g__Campylobacter_A_HROM_Genome_1584",2.03762562608526,0.0864250541595692,0.569792592728373,"g__Campylobacter_A"
"g__Kingella_B_HROM_Genome_4881",2.88544804110006,0.0867352310726947,0.569792592728373,"g__Kingella_B"
"f__Pasteurellaceae_HROM_Genome_4958",1.33979960569723,0.090713621318855,0.569792592728373,"g__"
"g__Prevotella_HROM_Genome_1171",1.56088764642395,0.0912562737321854,0.569792592728373,"g__Prevotella"
"s__Leptotrichia sp013394795",1.65940813122853,0.0912562737321854,0.569792592728373,"g__Leptotrichia"
"s__Streptococcus cristatus_C",2.25105220453109,0.0916179677851815,0.569792592728373,"g__Streptococcus"
"s__Olsenella_F sp001189515",1.74373056526067,0.091979599632648,0.569792592728373,"g__Olsenella_F"
"g__Capnocytophaga_HROM_Genome_1212",0.8831318787637,0.091979599632648,0.569792592728373,"g__Capnocytophaga"
"s__Kingella_A denitrificans",1.46813448374902,0.091979599632648,0.569792592728373,"g__Kingella_A"
"g__Haemophilus_D_HROM_Genome_4952",-1.46658146019545,0.091979599632648,0.569792592728373,"g__Haemophilus_D"
"g__Streptococcus_HROM_Genome_2405",1.67194738538861,0.09578912501525,0.569792592728373,"g__Streptococcus"
"s__Leptotrichia hongkongensis",1.57288985549273,0.096719207545614,0.569792592728373,"g__Leptotrichia"
"g__Rothia_HROM_Genome_0196",-1.69874308917367,0.0710344748756675,0.595485365698132,"g__Rothia"
"g__Campylobacter_A_HROM_Genome_1360",-1.4011255089002,0.0808896871086917,0.595485365698132,"g__Campylobacter_A"
"g__Streptococcus_HROM_Genome_2525",1.53665934835053,0.0810461713448311,0.595485365698132,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2482",2.45814978697807,0.0884494593269301,0.595485365698132,"g__Streptococcus"
"s__Saccharimonas sp905371715",-2.65807597000874,0.0884494593269301,0.595485365698132,"g__Saccharimonas"
"g__Bacteroides_D_HROM_Genome_1070",3.71134712263877,0.090005330646166,0.595485365698132,"g__Bacteroides_D"
"s__Actinomyces oricola",2.87752188505626,0.091454488539158,0.595485365698132,"g__Actinomyces"
"s__JABCPH02 sp013333235",1.96517909739181,0.100286057176263,0.595485365698132,"g__JABCPH02"
"g__Peptidiphaga_HROM_Genome_0349",1.85723898264611,0.101089468383713,0.595485365698132,"g__Peptidiphaga"
"g__Johnsonella_HROM_Genome_1704",3.41072192467279,0.101502570290664,0.595485365698132,"g__Johnsonella"
"s__Slackia exigua",-1.18996233587246,0.102427167226783,0.595485365698132,"g__Slackia"
"s__Prevotella intermedia",-1.29207128888609,0.102427167226783,0.595485365698132,"g__Prevotella"
"s__Anaeroglobus micronuciformis",-3.05062176488592,0.102427167226783,0.595485365698132,"g__Anaeroglobus"
"g__Arachnia_HROM_Genome_0393",1.93677388086529,0.10760191880272,0.595485365698132,"g__Arachnia"
"g__JABCPE02_HROM_Genome_1194",1.55676821287001,0.10760191880272,0.595485365698132,"g__JABCPE02"
"g__Capnocytophaga_HROM_Genome_1219",1.68483244258407,0.107954825317622,0.595485365698132,"g__Capnocytophaga"
"s__Streptococcus mitis_AZ",2.10131123119786,0.107954825317622,0.595485365698132,"g__Streptococcus"
"g__Campylobacter_A_HROM_Genome_1290",0.871823256268079,0.0683403542730746,0.618829933317566,"g__Campylobacter_A"
"g__Granulicatella_HROM_Genome_2580",1.21983248909617,0.0683403542730746,0.618829933317566,"g__Granulicatella"
"g__Streptococcus_HROM_Genome_2178",1.3366039319153,0.0683403542730746,0.618829933317566,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2320",0.819795265070133,0.0683403542730746,0.618829933317566,"g__Streptococcus"
"s__Streptococcus oralis_BF",1.0688025339232,0.0683403542730746,0.618829933317566,"g__Streptococcus"
"s__Streptococcus oralis_J",1.03725231265607,0.0683403542730746,0.618829933317566,"g__Streptococcus"
"g__Nanosynbacter_HROM_Genome_3697",1.23040500646141,0.0683403542730746,0.618829933317566,"g__Nanosynbacter"
"g__Pauljensenia_HROM_Genome_0230",-2.11956558316182,0.0909060561776106,0.618829933317566,"g__Pauljensenia"
"g__Streptococcus_HROM_Genome_2250",-1.51467749383148,0.0909060561776106,0.618829933317566,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2312",1.68211080493813,0.0909060561776106,0.618829933317566,"g__Streptococcus"
"g__Campylobacter_A_HROM_Genome_1521",1.51666788843702,0.0910025368978045,0.618829933317566,"g__Campylobacter_A"
"s__Streptococcus oralis_B",1.33418043100165,0.0910025368978045,0.618829933317566,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2117",-1.68943915942379,0.1049038854732,0.618829933317566,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2389",2.36451237718588,0.10713628651466,0.618829933317566,"g__Streptococcus"
"s__Johnsonella ignava",-1.36290309830401,0.108958559384891,0.618829933317566,"g__Johnsonella"
"s__Fusobacterium sp000235465",1.47636979446803,0.110413484383508,0.618829933317566,"g__Fusobacterium"
"g__Streptococcus_HROM_Genome_2281",1.08970544835131,0.110607867818364,0.618829933317566,"g__Streptococcus"
"g__Bacteroides_D_HROM_Genome_1074",-2.09387027948997,0.111543245437853,0.618829933317566,"g__Bacteroides_D"
