feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F427	KidneyDisease	KidneyDisease	2.25903329699411	0.443340898630573	101	83	1.76486664407536e-06	0.013688479926802
F1378	Age	Age	0.116370520469587	0.0233458539963934	101	78	2.78645901817852e-06	0.013688479926802
F1150	Sex	M	-2.46073784864604	0.511875336081754	101	77	5.72279803204549e-06	0.018742163554949
F428	KidneyDisease	KidneyDisease	2.00160122922608	0.43444018326523	101	94	1.26680709893225e-05	0.0217745463149222
F680	KidneyDisease	KidneyDisease	2.14887133551159	0.471704754936953	101	70	1.55136716747537e-05	0.0217745463149222
F684	KidneyDisease	KidneyDisease	2.19779000937186	0.474004168341517	101	77	1.12874245613218e-05	0.0217745463149222
F1936	Sex	M	1.9040185228548	0.416400220140043	101	99	1.45155577552044e-05	0.0217745463149222
F383	Sex	M	2.10311349080132	0.476868769591431	101	97	2.72063071367186e-05	0.0263428216462255
F431	KidneyDisease	KidneyDisease	1.52719172463194	0.349001141270438	101	79	3.10243899277858e-05	0.0263428216462255
F433	KidneyDisease	KidneyDisease	1.53138493084392	0.343061767454582	101	91	2.2139251507714e-05	0.0263428216462255
F930	KidneyDisease	KidneyDisease	2.53967843088487	0.581649096010975	101	80	3.21744386518784e-05	0.0263428216462255
F1194	Periodontitis	Periodontitis	3.34697769230519	0.766334274889768	101	62	3.20307326747783e-05	0.0263428216462255
F122	Age	Age	0.121084956739671	0.0298340220648907	101	54	0.000101326023111767	0.036700426660213
F224	Age	Age	0.0781106538152066	0.0191953298711945	101	30	9.74702935175724e-05	0.036700426660213
F332	Periodontitis	Periodontitis	4.05155132871075	0.977381757674148	101	98	7.37182581058085e-05	0.036700426660213
F352	Sex	M	1.96676183096694	0.482356889931644	101	99	9.46117805830017e-05	0.036700426660213
F371	Periodontitis	Periodontitis	4.62803353015573	1.13080786522078	101	101	8.94659689835456e-05	0.036700426660213
F390	Sex	M	3.14929249259597	0.75288460495248	101	84	6.4123651913724e-05	0.036700426660213
F435	KidneyDisease	KidneyDisease	1.60415266753705	0.386472723667493	101	87	7.22511465827091e-05	0.036700426660213
F437	KidneyDisease	KidneyDisease	1.45008652801294	0.349519457788117	101	93	7.27741762139903e-05	0.036700426660213
F495	KidneyDisease	KidneyDisease	2.11560241083126	0.512907089096379	101	31	7.95306258069433e-05	0.036700426660213
F673	KidneyDisease	KidneyDisease	2.03022894910942	0.479989727325281	101	95	5.38714312011656e-05	0.036700426660213
F683	KidneyDisease	KidneyDisease	2.10095563377261	0.513472703447098	101	69	8.9800659064517e-05	0.036700426660213
F687	KidneyDisease	KidneyDisease	1.71602606763697	0.420914359081832	101	61	9.47845095985898e-05	0.036700426660213
F1115	Periodontitis	Periodontitis	3.46700221227037	0.837926147596567	101	70	7.58466376084842e-05	0.036700426660213
F1208	Age	Age	0.0782258805632327	0.0186484943775136	101	82	6.13755479839112e-05	0.036700426660213
F1350	Sex	M	1.89280760700824	0.467369868456986	101	91	0.000104591546716129	0.036700426660213
F1953	Sex	M	1.82530595309415	0.433468295943728	101	100	5.77878070971469e-05	0.036700426660213
F1381	Sex	M	2.05978205570217	0.511285403335604	101	95	0.000113002831946424	0.0382845801335729
F1954	Sex	M	1.74227318843207	0.437755701702777	101	98	0.000134722256094233	0.0441215388708614
F372	Periodontitis	Periodontitis	4.07275620936829	1.03205120375177	101	78	0.000152083655642605	0.0454218489536619
